date;value
2020-04-24;200
2020-04-25;340
2020-04-25;160
2020-04-26;0
2020-04-26;340
2020-04-26;0
2020-04-26;0
2020-04-26;0
2020-04-26;340
2020-04-27;80
2020-04-27;120
2020-09-05;760
2020-11-05;310
2020-05-13;310
2020-05-13;310
2020-05-15;370
2020-05-18;0
2020-05-18;0
2020-05-18;0
2020-05-18;0
2020-05-18;590
2020-05-18;370
2020-05-18;590
2020-05-19;450
2020-05-19;460
2020-05-19;500
2020-05-19;500
2020-05-19;500
2020-05-20;210
2020-05-23;60
2020-05-23;60
2020-05-25;410
2020-05-26;290
2020-05-26;290
2020-05-26;290
2020-05-26;290
2020-05-28;170
2020-05-29;210
2020-02-06;460
2020-08-06;0
2020-08-06;260
2020-09-06;760
2020-09-06;760
2020-09-06;450
2020-12-06;0
2020-12-06;0
2020-12-06;260
2020-12-06;300
2020-06-15;810
2020-06-15;450
2020-06-16;590
2020-06-26;390
2020-06-27;350
2020-06-27;300
2020-06-27;320
2020-02-07;480
2020-04-07;380
2020-04-07;670
2020-04-07;670
2020-04-07;740
2020-06-07;840
2020-11-07;400
2020-07-13;390
2020-07-13;450
2020-07-13;470
2020-07-14;160
2020-07-14;210
2020-07-14;210
2020-07-14;210
2020-07-14;210
2020-07-17;390
2020-07-17;730
2020-07-18;750
2020-07-18;750
2020-07-18;790
2020-07-20;790
2020-07-20;190
2020-07-20;730
2020-07-20;220
2020-07-20;270
2020-07-20;730
2020-07-20;310
2020-07-20;350
2020-07-21;360
2020-07-21;360
2020-07-25;410
2020-07-25;380
2020-07-28;610
2020-07-29;310
2020-07-30;580
2020-07-30;710
2020-07-30;710
2020-01-08;0
2020-01-08;870
2020-01-08;1050
2020-04-08;250
2020-04-08;510
2020-04-08;590
2020-04-08;650
2020-04-08;650
2020-04-08;650
2020-04-08;650
2020-05-08;310
2020-06-08;540
2020-07-08;380
2020-07-08;380
2020-07-08;380
2020-07-08;600
2020-10-08;850
2020-10-08;850
2020-10-08;850
2020-10-08;450
2020-10-08;530
2020-10-08;670
2020-10-08;730
2020-11-08;730
2020-08-15;780
2020-08-15;860
2020-08-15;1060
2020-08-17;590
2020-08-18;1060
2020-08-18;660
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;310
2020-08-18;660
2020-08-18;1050
2020-08-18;330
2020-08-21;490
2020-08-24;400
2020-08-24;440
2020-08-25;440
2020-08-27;250
2020-02-09;0
2020-02-09;380
2020-02-09;350
2020-02-09;350
2020-02-09;350
2020-03-09;230
2020-04-09;540
2020-04-09;580
2020-09-09;712
2020-10-09;540
2020-10-09;540
2020-10-09;580
2020-09-15;482
2020-09-18;830
2020-09-19;870
2020-09-19;1110
2020-09-21;650
2020-09-22;330
2020-09-22;470
2020-09-22;470
2020-09-22;470
2020-09-25;340
2020-09-25;340
2020-09-28;470
2020-09-29;650
2020-06-10;0
2020-06-10;770
2020-06-10;1140
2020-07-10;1180
2020-07-10;410
2020-07-10;450
2020-07-10;450
2020-08-10;0
2020-08-10;530
2020-08-10;490
2020-09-10;710
2020-10-10;890
2020-10-10;890
2020-10-10;970
2020-10-10;990
2020-10-10;990
2020-10-10;990
2020-10-10;990
2020-10-10;990
2020-10-10;990
2020-10-10;990
2020-10-13;530
2020-10-13;530
2020-10-15;360
2020-10-15;360
2020-10-16;340
2020-10-16;720
2020-10-16;720
2020-10-16;720
2020-10-16;750
2020-10-17;540
2020-10-17;540
2020-10-17;540
2020-10-17;540
2020-10-17;540
2020-10-17;540
2020-10-17;540
2020-10-17;540
2020-10-17;540
2020-10-17;580
2020-10-17;580
2020-10-17;580
2020-10-17;580
2020-10-19;620
2020-10-19;660
2020-10-19;660
2020-10-19;660
2020-10-19;660
2020-10-19;660
2020-10-19;660
2020-10-19;750
2020-10-20;380
2020-10-22;410
2020-10-22;380
2020-10-22;0
2020-10-22;0
2020-10-22;250
2020-10-22;160
2020-10-22;190
2020-10-22;0
2020-10-22;230
2020-10-22;1180
2020-10-22;450
2020-10-22;490
2020-10-22;710
2020-10-22;990
2020-10-22;580
2020-10-22;750
2020-10-22;380
2020-10-22;440
2020-10-22;480
2020-10-23;500
2020-10-24;380
2020-10-24;610
2020-10-24;650
2020-10-24;650
2020-10-24;650
2020-10-24;650
2020-10-24;680
2020-10-24;680
2020-10-24;700
2020-10-24;700
2020-10-24;700
2020-10-24;720
2020-10-24;720
2020-10-26;720
2020-10-28;210
2020-10-29;340
2020-10-30;510
2020-10-30;550
2020-10-30;550
2020-10-30;590
2020-10-31;910
2020-03-11;480
2020-03-11;480
2020-04-11;0
2020-04-11;360
2020-05-11;300
2020-05-11;530
2020-05-11;530
2020-05-11;530
2020-05-11;530
2020-06-11;780
2020-07-11;420
2020-07-11;500
2020-09-11;0
2020-09-11;0
2020-09-11;0
2020-09-11;470
2020-09-11;470
2020-09-11;470
2020-11-11;390
2020-12-11;380
2020-12-11;250
2020-12-11;470
2020-12-11;0
2020-12-11;390
2020-12-11;380
2020-11-13;732
2020-11-14;360
2020-11-14;0
2020-11-14;0
2020-11-14;620
2020-11-14;640
2020-11-14;640
2020-11-14;640
2020-11-14;640
2020-11-14;640
2020-11-14;640
2020-11-14;640
2020-11-14;640
2020-11-14;640
2020-11-16;400
2020-11-16;440
2020-11-16;440
2020-11-17;440
2020-11-17;470
2020-11-17;540
2020-11-17;540
2020-11-17;440
2020-11-18;460
2020-11-18;500
2020-11-18;500
2020-11-19;460
2020-11-19;530
2020-11-19;530
2020-11-20;670
2020-11-21;800
2020-11-21;820
2020-11-23;510
2020-11-23;510
2020-11-23;510
2020-11-24;510
2020-11-27;370
2020-11-28;370
2020-04-12;360
2020-04-12;400
2020-04-12;400
2020-05-12;410
2020-05-12;490
2020-05-12;510
2020-05-12;530
2020-05-12;530
2020-07-12;280
2020-09-12;300
2020-10-12;250
2020-10-12;350
2020-11-12;310
2020-11-12;350
2020-12-14;700
2020-12-14;390
2020-12-14;390
2020-12-15;400
2020-12-15;400
2020-12-16;320
2020-12-17;390
2020-12-17;390
2020-12-17;390
2020-12-17;390
2020-12-17;390
2020-12-17;460
2020-12-18;500
2020-12-18;500
2020-12-18;500
2020-12-19;210
2020-12-21;390
2020-12-22;600
2020-12-23;490
2020-12-23;510
2020-12-23;510
2020-12-24;770
2020-12-24;790
2020-12-26;220
2020-12-26;790
2020-12-26;350
2020-12-26;390
2020-12-28;576
2020-12-29;450
2020-12-30;430
2020-12-30;450
2020-12-31;290
2020-12-31;600
2021-02-01;600
2021-02-01;300
2021-04-01;180
2021-04-01;330
2021-04-01;330
2021-04-01;350
2021-05-01;0
2021-05-01;190
2021-05-01;270
2021-05-01;270
2021-06-01;460
2021-07-01;690
2021-07-01;322
2021-07-01;322
2021-07-01;322
2021-07-01;322
2021-07-01;322
2021-08-01;420
2021-09-01;560
2021-09-01;560
2021-11-01;560
2021-12-01;260
2021-12-01;260
2021-01-14;0
2021-01-14;440
2021-01-15;440
2021-01-15;412
2021-01-16;260
2021-01-18;430
2021-01-20;270
2021-01-22;420
2021-01-22;430
2021-01-22;430
2021-01-22;430
2021-01-23;450
2021-01-23;490
2021-01-23;530
2021-01-23;530
2021-01-23;530
2021-01-23;530
2021-01-23;550
2021-01-25;310
2021-01-25;370
2021-01-25;370
2021-01-25;370
2021-01-30;400
2021-01-30;440
2021-01-30;440
2021-01-02;430
2021-01-02;430
2021-02-02;370
2021-02-02;530
2021-02-02;530
2021-04-02;340
2021-05-02;660
2021-05-02;660
2021-05-02;660
2021-06-02;600
2021-06-02;600
2021-06-02;600
2021-06-02;600
2021-08-02;330
2021-08-02;330
2021-08-02;370
2021-08-02;350
2021-10-02;430
2021-10-02;50
2021-10-02;430
2021-11-02;230
2021-11-02;490
2021-12-02;270
2021-02-13;520
2021-02-13;520
2021-02-13;520
2021-02-13;520
2021-02-13;520
2021-02-15;320
2021-02-17;490
2021-02-17;490
2021-02-17;490
2021-02-17;490
2021-02-17;560
2021-02-18;430
2021-02-18;430
2021-02-19;580
2021-02-19;580
2021-02-19;540
2021-02-19;540
2021-02-20;530
2021-02-20;490
2021-02-20;490
2021-02-22;510
2021-02-22;610
2021-02-22;160
2021-02-24;440
2021-02-24;440
2021-02-25;260
2021-02-26;260
2021-02-27;290
2021-02-27;350
2021-01-03;320
2021-01-03;370
2021-02-03;210
2021-02-03;210
2021-02-03;210
2021-03-03;220
2021-03-03;240
2021-03-03;210
2021-03-03;240
2021-06-03;420
2021-06-03;520
2021-06-03;560
2021-06-03;560
2021-06-03;560
2021-08-03;0
2021-08-03;360
2021-09-03;300
2021-10-03;270
2021-11-03;280
2021-12-03;220
2021-03-13;380
2021-03-13;380
2021-03-13;380
2021-03-13;380
2021-03-13;380
2021-03-13;380
2021-03-16;210
2021-03-17;0
2021-03-17;0
2021-03-17;210
2021-03-19;250
2021-03-19;250
2021-03-19;250
2021-03-20;270
2021-03-22;0
2021-03-22;290
2021-03-22;290
2021-03-25;200
2021-03-29;250
2021-03-31;310
2021-03-31;260
2021-03-31;260
2021-01-04;340
2021-01-04;340
2021-03-04;220
2021-03-04;400
2021-05-04;440
2021-06-04;230
2021-06-04;230
2021-07-04;200
2021-08-04;200
2021-08-04;310
2021-09-04;365
2021-09-04;385
2021-09-04;385
2021-10-04;360
2021-10-04;410
2021-10-04;410
2021-12-04;320
2021-12-04;360
2021-12-04;380
2021-12-04;380
2021-04-13;250
2021-04-13;250
2021-04-13;250
2021-04-14;230
2021-04-15;250
2021-04-16;650
2021-04-16;650
2021-04-16;650
2021-04-17;200
2021-04-17;560
2021-04-19;335
2021-04-20;460
2021-04-20;460
2021-04-21;140
2021-04-22;320
2021-04-23;310
2021-04-23;310
2021-04-23;310
2021-04-24;240
2021-04-26;560
2021-04-26;0
2021-04-26;560
2021-04-26;560
2021-04-26;560
2021-04-27;420
2021-04-27;460
2021-04-27;460
2021-04-27;410
2021-04-27;390
2021-04-28;470
2021-04-28;470
2021-04-28;490
2021-04-29;260
2021-04-29;260
2021-04-30;490
2021-04-30;380
2021-04-30;400
2021-04-30;400
2021-01-05;210
2021-03-05;440
2021-03-05;500
2021-05-05;240
2021-06-05;280
2021-06-05;280
2021-06-05;280
2021-07-05;650
2021-08-05;420
2021-08-05;420
2021-08-05;510
2021-08-05;510
2021-08-05;560
2021-08-05;560
2021-08-05;560
2021-08-05;560
2021-10-05;290
2021-10-05;320
2021-10-05;320
2021-11-05;330
2021-12-05;230
2021-12-05;260
2021-12-05;260
2021-05-13;390
2021-05-14;450
2021-05-14;450
2021-05-14;450
2021-05-14;450
2021-05-15;540
2021-05-15;540
2021-05-17;300
2021-05-18;280
2021-05-20;370
2021-05-22;410
2021-05-24;480
2021-05-24;480
2021-05-25;160
2021-05-25;280
2021-05-25;440
2021-05-26;270
2021-05-26;270
2021-05-26;270
2021-05-27;200
2021-05-27;220
2021-05-27;220
2021-05-29;480
2021-05-29;480
2021-05-31;310
2021-01-06;0
2021-01-06;220
2021-01-06;220
2021-02-06;340
2021-04-06;300
2021-04-06;340
2021-04-06;340
2021-05-06;400
2021-09-06;190
2021-09-06;190
2021-10-06;190
2021-11-06;650
2021-11-06;550
2021-11-06;550
2021-11-06;550
2021-12-06;730
2021-12-06;750
2021-12-06;750
2021-06-14;270
2021-06-14;380
2021-06-14;420
2021-06-14;420
2021-06-15;420
2021-06-16;280
2021-06-16;280
2021-06-17;340
2021-06-17;510
2021-06-17;510
2021-06-18;210
2021-06-18;380
2021-06-18;380
2021-06-19;470
2021-06-19;470
2021-06-21;340
2021-06-22;440
2021-06-23;280
2021-06-23;280
2021-06-25;320
2021-06-28;415
2021-06-28;415
2021-06-30;300
2021-06-30;415
2021-01-07;470
2021-01-07;470
2021-01-07;470
2021-02-07;470
2021-02-07;480
2021-02-07;480
2021-02-07;470
2021-02-07;480
2021-02-07;480
2021-03-07;730
2021-03-07;730
2021-05-07;730
2021-05-07;330
2021-05-07;0
2021-05-07;370
2021-05-07;370
2021-06-07;390
2021-06-07;220
2021-06-07;360
2021-06-07;360
2021-07-07;400
2021-08-07;210
2021-08-07;370
2021-08-07;460
2021-08-07;460
2021-09-07;440
2021-09-07;480
2021-09-07;480
2021-10-07;380
2021-12-07;220
2021-12-07;240
2021-07-13;315
2021-07-13;485
2021-07-13;485
2021-07-14;140
2021-07-14;295
2021-07-15;470
2021-07-15;470
2021-07-16;525
2021-07-17;300
2021-07-17;585
2021-07-17;630
2021-07-17;630
2021-07-19;225
2021-07-19;410
2021-07-19;410
2021-07-19;410
2021-07-20;345
2021-07-20;345
2021-07-21;395
2021-07-21;520
2021-07-22;135
2021-07-22;520
2021-07-22;390
2021-07-22;390
2021-07-23;675
2021-07-24;355
2021-07-24;470
2021-07-26;260
2021-07-27;245
2021-07-27;305
2021-07-27;410
2021-07-29;415
2021-07-30;280
2021-07-30;550
2021-07-30;550
2021-07-31;490
2021-02-08;190
2021-02-08;190
2021-03-08;245
2021-03-08;245
2021-04-08;315
2021-04-08;315
2021-05-08;375
2021-05-08;400
2021-05-08;400
2021-06-08;535
2021-06-08;535
2021-07-08;530
2021-07-08;620
2021-09-08;270
2021-11-08;120
2021-11-08;210
2021-12-08;390
2021-12-08;0
2021-12-08;420
2021-12-08;420
2021-12-08;420
2021-08-13;385
2021-08-13;385
2021-08-14;155
2021-08-14;260
2021-08-14;345
2021-08-14;390
