date;value
2020-04-24;3945
2020-04-25;4285
2020-04-26;4285
2020-04-27;4745
2020-04-28;4945
2020-04-29;5045
2020-04-29;5095
2020-04-29;5095
2020-04-29;5095
2020-04-29;5155
2020-01-05;5605
2020-02-05;100
2020-02-05;100
2020-02-05;100
2020-02-05;140
2020-02-05;140
2020-02-05;140
2020-02-05;140
2020-02-05;140
2020-02-05;140
2020-02-05;140
2020-02-05;200
2020-02-05;5605
2020-02-05;5605
2020-02-05;5605
2020-02-05;5605
2020-05-05;625
2020-07-05;985
2020-09-05;2145
2020-11-05;2455
2020-12-05;2455
2020-05-15;3345
2020-05-16;3365
2020-05-16;3365
2020-05-16;3365
2020-05-18;3955
2020-05-18;3995
2020-05-20;4765
2020-05-20;4765
2020-05-23;5125
2020-05-23;5165
2020-05-23;5605
2020-05-23;5185
2020-05-23;5185
2020-05-23;5185
2020-05-25;5255
2020-05-25;5275
2020-05-25;5595
2020-05-26;5685
2020-05-27;5905
2020-05-27;6015
2020-05-27;6015
2020-05-27;6205
2020-05-28;6315
2020-05-28;6335
2020-05-29;6435
2020-05-30;7365
2020-01-06;7365
2020-02-06;280
2020-03-06;590
2020-03-06;590
2020-03-06;610
2020-03-06;690
2020-04-06;730
2020-04-06;830
2020-05-06;1120
2020-05-06;1120
2020-05-06;1140
2020-06-06;1240
2020-08-06;1340
2020-08-06;1600
2020-10-06;2160
2020-11-06;2450
2020-12-06;2450
2020-12-06;2530
2020-12-06;2700
2020-12-06;0
2020-12-06;0
2020-12-06;2750
2020-06-13;2750
2020-06-15;3800
2020-06-15;7365
2020-06-15;4010
2020-06-15;4030
2020-06-16;4320
2020-06-16;4320
2020-06-16;4320
2020-06-16;4320
2020-06-16;4320
2020-06-16;4320
2020-06-17;4320
2020-06-18;4460
2020-06-19;4500
2020-06-22;5470
2020-06-23;6250
2020-06-24;6250
2020-06-24;6370
2020-06-24;6370
2020-06-24;6390
2020-06-25;6450
2020-06-25;6490
2020-06-26;6490
2020-06-26;5605
2020-06-26;7365
2020-06-26;6840
2020-06-27;6840
2020-06-27;7190
2020-06-29;7210
2020-06-29;7300
2020-06-29;5605
2020-06-29;7365
2020-06-29;7300
2020-06-29;7320
2020-01-07;7320
2020-03-07;572
2020-04-07;1232
2020-04-07;1692
2020-04-07;1692
2020-05-07;1692
2020-05-07;1692
2020-06-07;1792
2020-06-07;1792
2020-08-07;2092
2020-09-07;2172
2020-09-07;2252
2020-09-07;7320
2020-11-07;2742
2020-11-07;7320
2020-11-07;5605
2020-11-07;7365
2020-11-07;3082
2020-11-07;3062
2020-07-13;3182
2020-07-13;0
2020-07-13;3612
2020-07-13;3612
2020-07-13;3612
2020-07-13;3612
2020-07-13;3612
2020-07-13;3612
2020-07-13;3612
2020-07-14;3612
2020-07-14;3822
2020-07-14;3822
2020-07-15;3822
2020-07-15;3862
2020-07-15;3922
2020-07-15;3962
2020-07-16;3962
2020-07-16;4112
2020-07-17;4542
2020-07-17;4882
2020-07-18;4942
2020-07-20;5982
2020-07-21;6062
2020-07-21;0
2020-07-21;0
2020-07-21;6062
2020-07-21;6062
2020-07-21;6062
2020-07-21;6062
2020-07-21;6062
2020-07-21;6062
2020-07-23;7122
2020-07-23;7320
2020-07-23;7122
2020-07-23;7342
2020-07-23;7382
2020-07-24;7392
2020-07-24;7482
2020-07-24;7482
2020-07-24;7582
2020-07-25;7652
2020-07-25;8032
2020-07-25;8092
2020-07-25;8092
2020-07-27;8112
2020-07-27;8212
2020-07-27;8302
2020-07-28;8302
2020-07-28;9012
2020-07-29;9012
2020-07-29;9112
2020-07-29;7320
2020-07-29;9162
2020-07-29;9322
2020-07-29;9322
2020-07-30;9322
2020-07-30;9902
2020-07-30;10032
2020-07-30;10032
2020-07-30;10032
2020-07-31;10032
2020-07-31;10044
2020-07-31;10314
2020-07-31;10314
2020-07-31;10314
2020-07-31;10314
2020-07-31;10314
2020-07-31;10354
2020-01-08;10354
2020-01-08;10354
2020-03-08;1050
2020-04-08;1970
2020-04-08;1970
2020-04-08;1970
2020-04-08;2050
2020-04-08;2050
2020-04-08;2070
2020-05-08;2110
2020-05-08;2170
2020-05-08;2360
2020-05-08;2400
2020-05-08;10354
2020-05-08;2420
2020-06-08;2680
2020-06-08;2960
2020-07-08;3540
2020-07-08;3560
2020-07-08;3560
2020-07-08;3560
2020-08-08;3970
2020-08-08;4010
2020-08-08;4010
2020-08-08;4450
2020-10-08;4450
2020-10-08;4860
2020-10-08;5040
2020-10-08;5040
2020-10-08;5180
2020-10-08;5180
2020-10-08;5180
2020-10-08;5180
2020-10-08;5180
2020-10-08;5180
2020-11-08;5180
2020-11-08;5180
2020-11-08;5180
2020-11-08;10354
2020-11-08;5260
2020-12-08;5352
2020-12-08;5452
2020-08-13;5532
2020-08-13;5552
2020-08-13;5552
2020-08-13;5742
2020-08-14;5742
2020-08-14;5852
2020-08-14;5952
2020-08-14;6072
2020-08-15;7112
2020-08-17;7702
2020-08-18;0
2020-08-18;0
2020-08-18;0
2020-08-18;0
2020-08-18;7772
2020-08-18;8102
2020-08-18;8102
2020-08-19;8102
2020-08-19;8404
2020-08-19;10354
2020-08-19;8524
2020-08-19;8524
2020-08-19;8524
2020-08-20;8524
2020-08-20;8844
2020-08-21;8844
2020-08-21;9334
2020-08-24;11070
2020-08-25;11110
2020-08-25;11320
2020-08-25;11480
2020-08-26;11610
2020-08-26;11790
2020-08-27;11860
2020-08-27;12150
2020-08-27;12190
2020-08-27;12190
2020-08-27;12250
2020-08-27;12250
2020-08-28;12250
2020-08-28;12320
2020-08-28;12320
2020-08-28;12480
2020-08-29;12500
2020-08-29;12750
2020-08-29;12870
2020-08-29;12930
2020-08-29;12990
2020-08-29;13050
2020-08-31;13050
2020-08-31;13230
2020-08-31;13230
2020-08-31;13230
2020-08-31;13330
2020-08-31;13330
2020-01-09;13330
2020-01-09;330
2020-01-09;380
2020-02-09;580
2020-02-09;620
2020-02-09;730
2020-02-09;730
2020-03-09;870
2020-03-09;960
2020-04-09;1500
2020-04-09;1520
2020-05-09;1820
2020-05-09;1850
2020-05-09;1870
2020-08-09;1950
2020-08-09;2082
2020-08-09;2462
2020-09-09;2622
2020-10-09;3252
2020-10-09;3472
2020-10-09;3472
2020-10-09;3492
2020-10-09;0
2020-11-09;3832
2020-11-09;4522
2020-11-09;4792
2020-12-09;4912
2020-12-09;5077
2020-09-14;13330
2020-09-14;5347
2020-09-15;5559
2020-09-15;5709
2020-09-15;5769
2020-09-15;13330
2020-09-16;5829
2020-09-16;5829
2020-09-16;5979
2020-09-17;5979
2020-09-17;6429
2020-09-17;6449
2020-09-18;7279
2020-09-21;8389
2020-09-21;8599
2020-09-21;8639
2020-09-21;8639
2020-09-21;8809
2020-09-21;8949
2020-09-21;9039
2020-09-22;9369
2020-09-22;9369
2020-09-23;9509
2020-09-23;9649
2020-09-23;9649
2020-09-23;10059
2020-09-24;10499
2020-09-24;10539
2020-09-25;10939
2020-09-25;10939
2020-09-25;10939
2020-09-25;10959
2020-09-25;10959
2020-09-25;10959
2020-09-25;10959
2020-09-25;10959
2020-09-26;11239
2020-09-26;11239
2020-09-26;11359
2020-09-28;11359
2020-09-28;11629
2020-09-28;11779
2020-09-28;11829
2020-09-28;11829
2020-09-28;11829
2020-09-29;12059
2020-09-29;12249
2020-09-29;12339
2020-09-30;12579
2020-09-30;12579
2020-09-30;0
2020-09-30;0
2020-09-30;5605
2020-09-30;7365
2020-09-30;7320
2020-09-30;10374
2020-09-30;13330
2020-09-30;12579
2020-09-30;5605
2020-09-30;7365
2020-09-30;7320
2020-09-30;10374
2020-09-30;13330
2020-09-30;12579
2020-02-10;12579
2020-02-10;410
2020-05-10;920
2020-05-10;920
2020-07-10;0
2020-07-10;0
2020-07-10;2050
2020-08-10;2460
2020-09-10;3330
2020-09-10;3470
2020-09-10;3470
2020-09-10;3470
2020-09-10;3470
2020-09-10;3470
2020-09-10;3470
2020-10-10;4200
2020-10-10;4630
2020-12-10;4900
2020-12-10;0
2020-12-10;0
2020-12-10;4920
2020-10-13;4920
2020-10-13;4920
2020-10-13;5220
2020-10-13;5260
2020-10-13;5360
2020-10-13;5380
2020-10-13;5380
2020-10-13;5450
2020-10-13;13330
2020-10-13;12579
2020-10-13;10374
2020-10-13;7320
2020-10-13;5450
2020-10-13;5450
2020-10-14;5490
2020-10-14;5650
2020-10-14;5770
2020-10-15;5970
2020-10-15;6060
2020-10-15;6290
2020-10-16;6670
2020-10-16;6710
2020-10-17;7620
2020-10-19;7930
2020-10-19;8090
2020-10-19;8090
2020-10-19;8410
2020-10-20;8480
2020-10-20;8580
2020-10-20;8600
2020-10-20;8630
2020-10-20;8790
2020-10-21;8930
2020-10-21;8990
2020-10-21;8990
2020-10-21;9030
2020-10-21;9100
2020-10-21;9140
2020-10-21;9140
2020-10-21;9180
2020-10-22;9200
2020-10-22;9340
2020-10-22;9340
2020-10-22;9340
2020-10-22;9340
2020-10-23;9700
2020-10-23;9740
2020-10-24;10550
2020-10-26;10740
2020-10-26;12579
2020-10-26;10740
2020-10-26;10780
2020-10-26;10800
2020-10-27;10850
2020-10-27;10900
2020-10-27;10920
2020-10-27;10960
2020-10-27;11010
2020-10-27;11010
2020-10-28;11172
2020-10-28;11192
2020-10-28;11212
2020-10-28;11212
2020-10-28;11212
2020-10-28;11212
2020-10-29;11322
2020-10-29;11322
2020-10-29;11322
2020-10-29;11322
2020-10-29;11322
2020-10-29;11402
2020-10-29;11482
2020-10-29;11482
2020-10-29;11502
2020-10-29;11552
2020-10-29;11572
2020-10-30;11872
2020-10-30;12122
2020-10-30;12162
2020-10-31;12342
2020-10-31;12402
2020-10-31;12762
2020-10-31;12762
2020-03-11;460
2020-04-11;840
2020-04-11;12762
2020-05-11;12762
2020-05-11;1370
2020-06-11;1490
2020-06-11;2150
2020-07-11;2360
2020-07-11;2490
2020-07-11;2570
2020-07-11;2650
2020-09-11;2670
2020-09-11;2790
2020-10-11;3140
2020-10-11;3160
2020-10-11;3220
2020-10-11;3240
2020-10-11;3390
2020-10-11;12762
2020-10-11;12762
2020-10-11;12762
2020-11-11;3650
2020-11-11;3710
2020-11-11;3780
2020-11-11;3780
2020-12-11;3880
2020-12-11;3940
2020-12-11;3960
2020-12-11;4160
2020-12-11;0
2020-12-11;0
2020-12-11;4250
2020-11-13;0
2020-11-13;4982
2020-11-14;5622
2020-11-16;5842
2020-11-16;5842
2020-11-16;6022
2020-11-16;6062
2020-11-16;6062
2020-11-17;6242
2020-11-18;6642
2020-11-18;6812
2020-11-18;7062
2020-11-18;7102
2020-11-19;7302
2020-11-19;7302
2020-11-19;7482
2020-11-19;7562
2020-11-19;12762
2020-11-19;7632
2020-11-19;7632
2020-11-20;7692
2020-11-20;7742
2020-11-21;8302
2020-11-23;9122
2020-11-23;9162
2020-11-23;9402
2020-11-23;9652
2020-11-23;9672
2020-11-23;9672
2020-11-24;9672
2020-11-24;9772
2020-11-24;9772
2020-11-24;9822
2020-11-24;9862
2020-11-24;9902
2020-11-25;9902
2020-11-25;10052
2020-11-25;10142
2020-11-25;10212
2020-11-25;10212
2020-11-25;10212
2020-11-26;10212
2020-11-26;10262
2020-11-26;10312
2020-11-26;10372
2020-11-26;10392
2020-11-26;10392
2020-11-26;10392
2020-11-27;10502
2020-11-27;10522
2020-11-27;10562
2020-11-27;10592
2020-11-27;10632
2020-11-27;10702
2020-11-27;10702
2020-11-27;10762
2020-11-28;10762
2020-11-28;10782
2020-11-28;10782
2020-11-28;10782
2020-11-30;10992
2020-11-30;11012
2020-11-30;11072
2020-11-30;11072
2020-11-30;11072
2020-01-12;270
2020-01-12;270
2020-01-12;270
2020-02-12;430
2020-02-12;430
2020-03-12;11072
2020-03-12;570
2020-03-12;570
2020-03-12;570
2020-03-12;570
2020-03-12;570
2020-03-12;570
2020-03-12;570
2020-04-12;0
2020-04-12;930
2020-05-12;970
2020-05-12;1070
2020-05-12;11092
2020-05-12;11092
2020-07-12;1500
2020-07-12;1580
2020-07-12;1620
2020-07-12;13330
2020-07-12;1780
2020-07-12;1780
2020-08-12;1840
2020-08-12;1920
2020-09-12;2130
2020-09-12;2180
2020-09-12;2220
2020-09-12;2220
2020-10-12;2280
2020-10-12;2470
2020-10-12;2570
2020-10-12;2570
2020-11-12;2630
2020-11-12;2860
2020-11-12;0
2020-11-12;5605
2020-11-12;7365
2020-11-12;7320
2020-11-12;10374
2020-11-12;13330
2020-11-12;12579
2020-11-12;12762
2020-11-12;11072
2020-11-12;2880
2020-11-12;5605
2020-11-12;7365
2020-11-12;7365
2020-11-12;7320
2020-11-12;10374
2020-11-12;13330
2020-11-12;12579
2020-11-12;12762
2020-11-12;11072
2020-11-12;2880
2020-11-12;0
2020-11-12;0
2020-11-12;2880
2020-11-12;2880
2020-11-12;2900
2020-11-12;2920
2020-12-12;3160
2020-12-12;3370
2020-12-12;3600
2020-12-14;3620
2020-12-14;3700
2020-12-14;3740
2020-12-14;4010
2020-12-14;0
2020-12-14;4010
2020-12-15;4220
2020-12-15;4410
2020-12-16;4410
2020-12-16;4640
2020-12-16;4660
2020-12-16;4680
2020-12-16;4730
2020-12-17;4790
2020-12-17;4870
2020-12-17;4950
2020-12-17;5120
2020-12-17;5190
2020-12-18;5310
2020-12-18;5310
2020-12-18;5350
2020-12-18;5530
2020-12-18;5670
2020-12-19;5790
2020-12-19;5830
2020-12-19;5860
2020-12-19;5880
2020-12-19;5880
2020-12-22;6270
2020-12-22;6630
2020-12-22;6630
2020-12-22;6630
2020-12-22;6830
2020-12-22;6870
2020-12-23;7200
2020-12-23;7360
2020-12-23;7360
2020-12-23;7380
2020-12-24;8190
2020-12-24;8190
2020-12-24;8190
2020-12-26;8410
2020-12-26;8540
2020-12-26;8540
2020-12-26;8540
2020-12-26;8620
2020-12-28;8970
2020-12-28;9110
2020-12-28;9166
2020-12-28;9206
2020-12-28;9226
2020-12-29;9466
2020-12-29;9506
2020-12-29;9676
2020-12-29;9676
2020-12-29;9676
2020-12-30;9766
2020-12-30;9766
2020-12-30;9826
2020-12-30;9986
2020-12-30;10106
2020-12-30;10106
2020-12-30;10106
2020-12-30;10126
2020-12-31;10286
2020-12-31;10346
2020-12-31;10366
2020-12-31;10666
2020-12-31;10726
2021-02-01;10726
2021-02-01;100
2021-02-01;280
2021-02-01;10796
2021-04-01;420
2021-04-01;630
2021-04-01;650
2021-05-01;840
2021-05-01;920
2021-06-01;10796
2021-06-01;1150
2021-06-01;1380
2021-06-01;1400
2021-07-01;1512
2021-07-01;1682
2021-07-01;10796
2021-07-01;1682
2021-07-01;1722
2021-08-01;1722
2021-08-01;1782
2021-08-01;1842
2021-08-01;2102
2021-08-01;2142
2021-08-01;2162
2021-09-01;2312
2021-09-01;2352
2021-09-01;2722
2021-11-01;2892
2021-11-01;2892
2021-11-01;10796
2021-12-01;3022
2021-12-01;3062
2021-12-01;3082
2021-12-01;3152
2021-12-01;3152
2021-01-13;3152
2021-01-13;3332
2021-01-13;3382
2021-01-14;3822
2021-01-15;3822
2021-01-15;4034
2021-01-15;4234
2021-01-15;4234
2021-01-16;4234
2021-01-16;4374
2021-01-16;4424
2021-01-16;4464
2021-01-18;4494
2021-01-18;4634
2021-01-18;4904
2021-01-18;4944
2021-01-19;4974
2021-01-19;4994
2021-01-19;5014
2021-01-19;5074
2021-01-20;5074
2021-01-20;5284
2021-01-20;5344
2021-01-21;5414
2021-01-21;5454
2021-01-21;5454
2021-01-21;5504
2021-01-21;5654
2021-01-22;5824
2021-01-22;6074
2021-01-22;6074
2021-01-23;6344
2021-01-23;6494
2021-01-23;6574
2021-01-23;6574
2021-01-23;6614
2021-01-25;6724
2021-01-25;6784
2021-01-25;6804
2021-01-25;7004
2021-01-26;7054
2021-01-26;7054
2021-01-26;10796
2021-01-26;0
2021-01-26;13330
2021-01-27;7074
2021-01-27;7094
2021-01-27;7134
2021-01-27;7234
2021-01-28;7234
2021-01-28;7394
2021-01-28;7414
2021-01-28;7414
2021-01-29;7484
2021-01-29;7484
2021-01-30;7924
2021-02-02;800
2021-02-02;960
2021-02-02;960
2021-03-02;960
2021-03-02;1160
2021-03-02;1200
2021-04-02;1240
2021-04-02;1540
2021-04-02;7924
2021-05-02;1840
2021-05-02;2160
2021-05-02;2200
2021-06-02;2800
2021-08-02;2880
2021-08-02;3130
2021-09-02;3280
2021-10-02;3410
2021-10-02;3840
2021-10-02;3840
2021-10-02;3840
2021-11-02;3960
2021-11-02;4070
2021-11-02;4330
2021-12-02;4330
2021-12-02;4400
2021-12-02;4460
2021-12-02;4560
2021-02-13;4860
2021-02-13;5120
2021-02-13;5120
2021-02-15;5120
2021-02-15;5290
2021-02-15;5440
2021-02-17;0
2021-02-17;0
2021-02-17;0
2021-02-17;5950
2021-02-18;6260
2021-02-18;6430
2021-02-20;7220
2021-02-20;7470
2021-02-22;7760
2021-02-22;7830
2021-02-22;7870
2021-02-22;7920
2021-02-23;8150
2021-02-23;8150
2021-02-23;8150
2021-02-24;8150
2021-02-24;8470
2021-02-24;8470
2021-02-24;8510
2021-02-24;8510
2021-02-24;8590
2021-02-25;8590
2021-02-25;8750
2021-02-25;8850
2021-02-26;8850
2021-02-26;9110
2021-02-27;9110
2021-02-27;9400
2021-02-27;9420
2021-02-27;9460
2021-01-03;9460
2021-01-03;210
2021-01-03;350
2021-01-03;370
2021-02-03;9460
2021-02-03;580
2021-03-03;800
2021-04-03;1040
2021-04-03;1080
2021-05-03;1180
2021-05-03;1240
2021-05-03;9460
2021-05-03;1280
2021-05-03;1280
2021-06-03;1840
2021-08-03;1870
2021-08-03;1980
2021-08-03;2200
2021-09-03;2220
2021-09-03;2520
2021-10-03;2600
2021-10-03;2670
2021-10-03;2770
2021-10-03;2790
2021-11-03;3000
2021-11-03;3050
2021-11-03;3070
2021-12-03;3110
2021-12-03;7320
2021-12-03;10374
2021-12-03;13330
2021-12-03;3160
2021-12-03;0
2021-12-03;3290
2021-03-13;3310
2021-03-13;3360
2021-03-13;3690
2021-03-15;3830
2021-03-15;4070
2021-03-15;4070
2021-03-16;4180
2021-03-16;4260
2021-03-17;4440
2021-03-18;4570
2021-03-19;4740
2021-03-19;4800
2021-03-19;4990
2021-03-20;4990
2021-03-20;5260
2021-03-20;5260
2021-03-22;5470
2021-03-22;5470
2021-03-22;5550
2021-03-23;5550
2021-03-23;5650
2021-03-23;5650
2021-03-24;5785
2021-03-25;5965
2021-03-25;5985
2021-03-25;6005
2021-03-26;6105
2021-03-29;6205
2021-03-29;6315
2021-03-29;6355
2021-03-30;6465
2021-03-30;6545
2021-03-30;6545
2021-03-31;6545
2021-03-31;6605
2021-03-31;6715
2021-03-31;6805
2021-01-04;0
2021-01-04;340
2021-01-04;340
2021-01-04;6805
2021-03-04;480
2021-03-04;560
2021-03-04;720
2021-03-04;740
2021-03-04;740
2021-05-04;1060
2021-05-04;1160
2021-05-04;1160
2021-06-04;1180
2021-06-04;1330
2021-06-04;1410
2021-07-04;1610
2021-08-04;6805
2021-08-04;1810
2021-08-04;1890
2021-08-04;1920
2021-09-04;1920
2021-09-04;1985
2021-09-04;2065
2021-09-04;2265
2021-09-04;2285
2021-09-04;2305
2021-10-04;2305
2021-10-04;2645
2021-10-04;2665
2021-12-04;3035
2021-12-04;3075
2021-04-13;3095
2021-04-13;3165
2021-04-13;3165
2021-04-13;3255
2021-04-13;3295
2021-04-13;3345
2021-04-14;3415
2021-04-14;3415
2021-04-14;3455
2021-04-14;3575
2021-04-14;3575
2021-04-15;3575
2021-04-15;3595
2021-04-15;3595
2021-04-15;3795
2021-04-15;3825
2021-04-16;3825
2021-04-16;4275
2021-04-16;4475
2021-04-17;5035
2021-04-19;5110
2021-04-19;5110
2021-04-19;5110
2021-04-19;5390
2021-04-20;5830
2021-04-21;5870
2021-04-21;5910
2021-04-21;5970
2021-04-21;5970
2021-04-22;6060
2021-04-22;6805
2021-04-22;6080
2021-04-22;6120
2021-04-22;6250
2021-04-22;6250
2021-04-22;6250
2021-04-22;6250
2021-04-22;6290
2021-04-23;6350
2021-04-23;6370
2021-04-23;6370
2021-04-23;6805
2021-04-23;6370
2021-04-23;6390
2021-04-23;6440
2021-04-23;6480
2021-04-23;6580
2021-04-23;6600
2021-04-23;6600
2021-04-24;6600
2021-04-24;6670
2021-04-24;6820
2021-04-24;6840
2021-04-26;6840
2021-04-26;7150
2021-04-26;7400
2021-04-26;7400
2021-04-27;7470
2021-04-27;7470
2021-04-27;7820
2021-04-27;7820
2021-04-27;7820
2021-04-27;7860
2021-04-27;7790
2021-04-28;7880
2021-04-28;7920
2021-04-28;8260
2021-04-28;8280
2021-04-29;8280
2021-04-29;8320
2021-04-29;8500
2021-04-29;8540
2021-04-29;8540
2021-04-29;8540
2021-04-30;8630
2021-04-30;8630
2021-04-30;8630
2021-04-30;13330
2021-04-30;8730
2021-04-30;8730
2021-04-30;8920
2021-04-30;8940
2021-04-30;8940
2021-01-05;170
2021-01-05;250
2021-01-05;330
2021-01-05;370
2021-01-05;390
2021-01-05;390
2021-01-05;390
2021-01-05;390
2021-03-05;430
2021-03-05;470
2021-03-05;650
2021-03-05;870
2021-03-05;930
2021-04-05;970
2021-04-05;1040
2021-05-05;1040
2021-05-05;1130
2021-05-05;1280
2021-06-05;1400
2021-06-05;1400
2021-06-05;1400
2021-06-05;1490
2021-06-05;1510
2021-06-05;1540
2021-06-05;1560
2021-07-05;2220
2021-08-05;2400
2021-08-05;2800
2021-08-05;2800
2021-10-05;2800
2021-10-05;2840
2021-10-05;2900
2021-10-05;2900
2021-11-05;3120
2021-11-05;3270
2021-11-05;3310
2021-11-05;3310
2021-11-05;3410
2021-11-05;3410
2021-11-05;3410
2021-11-05;3450
2021-12-05;3450
2021-12-05;3640
2021-12-05;3640
2021-12-05;3680
2021-12-05;3680
2021-12-05;3710
2021-12-05;3710
2021-05-13;3920
2021-05-13;4100
2021-05-13;4100
2021-05-14;4350
2021-05-14;4390
2021-05-14;4550
2021-05-14;4550
2021-05-15;4860
2021-05-15;5010
2021-05-15;5070
2021-05-15;5090
2021-05-17;5090
2021-05-17;5140
2021-05-17;5220
