Country,Median,Mean,Gini,Adults
Luxembourg,259899,477306,67.0,498000
Australia,238072,483755,65.6,19159000
Iceland,231462,337787,50.9,255000
Belgium,230548,351327,60.3,8993000
Hong Kong,173768,503335,74.6,6292000
New Zealand,171624,348198,69.9,3600000
Denmark,165622,376069,73.6,4557000
Switzerland,146733,673962,78.1,6958000
Netherlands,136105,377092,75.3,13462000
France,133559,299355,70.0,49967000
United Kingdom,131522,290754,71.7,52568000
Canada,125688,332323,71.9,29934000
Japan,122980,256596,64.4,104953000
Italy,118885,239244,66.5,49746000
Norway,117798,275880,78.5,4184000
Spain,105831,227122,69.2,37798000
Ireland,99028,266153,80.0,3619000
Taiwan,93044,238862,70.8,19633000
Austria,91833,290348,73.5,7271000
Sweden,89846,336166,87.2,7794000
South Korea,89671,211369,67.6,42490000
Singapore,86717,332995,78.3,4887000
Malta,84390,148934,61.7,358000
Qatar,83680,146730,58.1,2396000
Israel,80315,228268,73.4,5626000
United States,79274,505421,85.0,249969000
Finland,73775,167711,74.0,4373000
Slovenia,67961,120173,67.1,1672000
Germany,65374,268681,77.9,68015000
Portugal,61306,142537,70.5,8339000
Greece,57595,104603,65.7,8462000
Slovakia,45853,68059,50.3,4346000
Estonia,38901,77817,73.8,1044000
Cyprus,35300,142304,80.7,679000
Croatia,34945,69140,68.5,3303000
Latvia,33884,70454,80.9,1477000
Montenegro,30739,60310,68.4,476000
Lithuania,29679,63500,71.0,2166000
Kuwait,28698,129890,86.5,3146000
Mauritius,27456,63372,72.1,968000
Seychelles,24651,63427,75.9,69000
Hungary,24126,53664,66.5,7769000
China,24067,67771,70.4,1104956000
Czechia,23794,78103,77.7,8528000
French Caribbean,23740,68443,73.8,631000
Romania,23675,50009,70.1,15208000
Poland,23550,67477,70.7,30315000
Uruguay,22088,60914,77.2,2530000
United Arab Emirates,21613,115476,88.8,8053000
Barbados,21071,63261,80.4,221000
Lebanon,18159,55007,79.7,4548000
Chile,17747,53591,79.7,14259000
Bulgaria,17403,36443,70.1,5586000
Dutch Caribbean,16810,40909,69.1,258000
Trinidad and Tobago,15649,44182,78.0,1032000
Saudi Arabia,15495,68697,86.7,24186000
Albania,15363,30524,68.2,2187000
Bosnia and Herzegovina,15283,30597,68.6,2637000
Serbia,14954,31705,70.6,5480000
British Caribbean,14684,45109,80.8,567000
Costa Rica,14662,44337,79.9,3696000
Bahrain,14520,87559,88.9,1318000
Polynesia,14076,37998,77.9,423000
Mexico,13752,42689,80.5,85136000
Panama,13147,43979,82.5,2843000
Melanesia,12183,31106,75.8,711000
Belarus,12168,23278,66.7,7367000
Kazakhstan,12029,33463,76.4,12226000
El Salvador,11372,34003,79.1,4201000
Jordan,10842,28316,75.9,5866000
Oman,9886,39434,86.7,3765000
Armenia,9411,22573,73.0,2176000
Turkmenistan,9030,20328,70.6,3722000
Sri Lanka,8802,23832,76.8,14732000
Malaysia,8583,29287,82.9,22315000
Maldives,8519,25511,79.8,409000
Thailand,8036,25292,77.1,54054000
Turkey,8001,27466,81.8,57768000
Iran,7621,22249,78.6,57987000
Moldova,7577,15491,69.4,3188000
Bahamas,7507,56737,91.4,278000
Venezuela,7341,21040,78.1,18359000
Libya,6512,17198,76.0,4440000
Iraq,6378,14506,71.0,21247000
Egypt,6329,19468,79.2,59547000
Tunisia,6177,17550,77.8,8207000
Jamaica,5976,19893,82.0,2041000
Fiji,5764,15708,77.4,564000
Peru,5445,17017,80.1,22530000
Ecuador,5444,17151,80.8,11361000
Russia,5431,27162,87.8,111845000
Brunei,5122,39098,91.6,309000
Azerbaijan,5022,11926,72.7,7155000
Micronesia,4876,13193,77.9,341000
Colombia,4854,16928,82.7,35612000
Indonesia,4693,17693,77.7,180782000
Gabon,4685,13696,79.3,1216000
Guyana,4637,12280,76.5,497000
Equatorial Guinea,4561,18246,86.3,776000
Vietnam,4559,14075,80.2,68565000
South Africa,4523,20308,88.0,37590000
Georgia,4223,14162,81.3,2959000
Morocco,3874,13459,81.9,24654000
Bolivia,3804,12286,81.0,7088000
Nicaragua,3694,12239,81.0,4107000
Kenya,3683,12313,82.2,27473000
Botswana,3680,15598,87.3,1358000
Namibia,3677,15294,86.6,1375000
Paraguay,3644,11962,81.6,4454000
Brazil,3469,18272,89.0,153307000
India,3194,14252,82.3,900443000
Philippines,3155,15290,86.9,66960000
Bangladesh,3062,7837,75.2,106060000
Belize,3015,10364,83.4,245000
Timor-Leste,2838,5185,62.6,689000
Mongolia,2546,6324,74.4,2053000
Ukraine,2529,13104,84.4,34639000
Myanmar,2458,5025,67.0,35734000
Zimbabwe,2356,7131,79.8,7086000
Algeria,2302,8871,84.8,27620000
Kyrgyzstan,2238,5816,75.7,3927000
Ghana,2198,6132,77.5,16617000
Pakistan,2187,5258,73.2,123522000
Argentina,2157,7224,81.2,30799000
Cambodia,2031,5895,78.7,10180000
Tajikistan,1844,4390,73.1,5227000
Papua New Guinea,1790,6710,84.3,4941000
Sao Tome and Principe,1702,4029,73.1,104000
Laos,1610,7379,87.9,4288000
Senegal,1570,4702,79.7,7975000
Ethiopia,1527,3540,71.1,57104000
Nigeria,1474,6451,85.8,95931000
Comoros,1466,5397,84.8,447000
Liberia,1464,4453,80.1,2502000
Nepal,1437,4056,78.1,17887000
Tanzania,1433,3647,74.5,27744000
Suriname,1349,5644,87.1,382000
Rwanda,1266,4188,81.9,6581000
Yemen,1223,5581,88.0,15281000
Angola,1131,3529,80.6,14339000
Eritrea,1086,2846,75.7,1728000
Djibouti,1077,3112,78.8,618000
Mauritania,1037,2788,76.3,2370000
Cameroon,941,3042,81.6,12716000
Guinea,938,2942,80.8,6078000
Benin,890,2558,78.2,5839000
Mali,869,2424,77.6,8625000
Syria,807,2197,77.2,10811000
Afghanistan,734,1744,72.8,18356000
Zambia,692,3068,87.7,8331000
Guinea-Bissau,670,1828,77.6,949000
Madagascar,666,1962,79.3,13812000
Gambia,658,2500,84.9,1115000
Uganda,646,1994,80.4,19830000
Burkina Faso,622,1681,76.8,9480000
Malawi,606,2045,82.4,8887000
Congo Rep.,582,2180,84.7,2707000
Niger,492,1287,75.6,9739000
Togo,468,1484,81.2,4084000
Sudan,383,1014,75.9,21941000
Sierra Leone,370,995,76.7,3937000
Congo Dem. Rep.,356,1240,83.2,39740000
Chad,355,1117,80.6,7059000
Mozambique,345,1003,79.1,14186000
Burundi,281,728,75.1,5381000
Lesotho,264,1226,88.6,1243000
Central African Republic,212,840,85.9,2161000
Haiti,193,767,85.2,6621000
